Dataset,Num nodes,Enc,Dec,Emb loss,Mean,Std,Best,Bad time,Enc time,Dec time
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.34363627433776855
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.28344011306762695
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.2869589328765869
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.3400382995605469
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.29210829734802246
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.28467559814453125
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.3172636032104492
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.28432703018188477
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.32211828231811523
zoo,64,Direct,NJ,-1.0,11.774318836595722,-1.0,11.774318836595722,0.0,-1.0,0.28656983375549316
zoo,64,Direct,TreeRep,-1.0,23.790093164546995,5.457414033488201,14.650798356531638,0.0,-1.0,0.585280466079712
zoo,64,Direct,TreeRep,-1.0,24.930066411709568,6.911661820148384,15.947376187663217,0.0,-1.0,0.6004782915115356
zoo,64,Direct,TreeRep,-1.0,25.209775526791883,5.547893857165887,15.665727297729324,0.0,-1.0,0.6169641733169555
zoo,64,Direct,TreeRep,-1.0,30.234788630831172,7.898887806426131,18.05156034142108,0.0,-1.0,0.6310042262077331
zoo,64,Direct,TreeRep,-1.0,26.481698694241395,7.758621545937083,18.62691403039461,0.0,-1.0,0.6522403359413147
zoo,64,Direct,TreeRep,-1.0,27.411533053251304,6.296179040279758,16.913889246901714,0.0,-1.0,0.6800343275070191
